UID,URL,NAME,RATING,TYPE,Latitude,Longitude
52,https://www.google.com/maps/place/Just+Baked+Bakers+%26+Confectioners+%28Pune%29+Private+Limited/data=!4m7!3m6!1s0x3bc2c0f9b4e3b5e3:0xbaa06ca6c9b42ee0!8m2!3d18.5357047!4d73.8762408!16s%2Fg%2F1wrghmhy!19sChIJ47XjtPnAwjsR4C60yaZsoLo?authuser=0&hl=en&rclk=1,Just Baked Bakers & Confectioners (Pune) Private Limited,4,Bakery and Cake Shop,18.5357047,73.8762408
53,https://www.google.com/maps/place/Caramella%27s+cake+shop/data=!4m7!3m6!1s0x3bc2c1f7d61d7cf9:0x4cc7a670d47f130f!8m2!3d18.5351364!4d73.8763999!16s%2Fg%2F11h439x2d4!19sChIJ-Xwd1vfBwjsRDxN_1HCmx0w?authuser=0&hl=en&rclk=1,Caramella's cake shop,4.4,Bakery and Cake Shop,18.5351364,73.8763999
54,https://www.google.com/maps/place/Viceroy+Bakery/data=!4m7!3m6!1s0x3bc2c057715565b7:0x8a9e170b16c8c768!8m2!3d18.5281046!4d73.8744283!16s%2Fg%2F1tdghqbg!19sChIJt2VVcVfAwjsRaMfIFgsXnoo?authuser=0&hl=en&rclk=1,Viceroy Bakery,3.8,Bakery and Cake Shop,18.5281046,73.8744283
55,https://www.google.com/maps/place/BrownCherry+Baker%27s+and+confectioners/data=!4m7!3m6!1s0x3bc2c1fda60eb76f:0x3ab5d775bf1d7541!8m2!3d18.5368365!4d73.8732163!16s%2Fg%2F11lt58_g2h!19sChIJb7cOpv3BwjsRQXUdv3XXtTo?authuser=0&hl=en&rclk=1,BrownCherry Baker's and confectioners,4.5,Bakery and Cake Shop,18.5368365,73.8732163
56,https://www.google.com/maps/place/Ribbons+And+Balloons+-+The+Cake+Shop/data=!4m7!3m6!1s0x3bc2c058396c3a63:0x4b6f7d21f54f933a!8m2!3d18.535089!4d73.877222!16s%2Fg%2F11bwl3tfrg!19sChIJYzpsOVjAwjsROpNP9SF9b0s?authuser=0&hl=en&rclk=1,Ribbons And Balloons - The Cake Shop,3.9,Bakery and Cake Shop,18.535089,73.877222
57,https://www.google.com/maps/place/New+Laxmi+Foods/data=!4m7!3m6!1s0x3bc2c06cca0b1677:0x37fe0e9c872a0f99!8m2!3d18.5073643!4d73.857988!16s%2Fg%2F11f0wrf28w!19sChIJdxYLymzAwjsRmQ8qh5wO_jc?authuser=0&hl=en&rclk=1,New Laxmi Foods,3.3,Bakery and Cake Shop,18.5073643,73.857988
58,https://www.google.com/maps/place/SAGAR+BAKERY+MODI+FOODS/data=!4m7!3m6!1s0x3bc2c06ce0152d73:0x18a336d00696fa53!8m2!3d18.5039795!4d73.8588453!16s%2Fg%2F11cjdy4pb7!19sChIJcy0V4GzAwjsRU_qWBtA2oxg?authuser=0&hl=en&rclk=1,SAGAR BAKERY MODI FOODS,4.2,Bakery and Cake Shop,18.5039795,73.8588453
59,https://www.google.com/maps/place/Abhijit+Bichukale+and+Son%27s/data=!4m7!3m6!1s0x3bc2c1482757c11f:0xbef285431eb0e821!8m2!3d18.5118483!4d73.8558983!16s%2Fg%2F11rhdcprc0!19sChIJH8FXJ0jBwjsRIeiwHkOF8r4?authuser=0&hl=en&rclk=1,Abhijit Bichukale and Son's,4.1,Bakery and Cake Shop,18.5118483,73.8558983
60,https://www.google.com/maps/place/Jadhav+Bakers/data=!4m7!3m6!1s0x3bc2c05c4e9a9d77:0x180ae7b6793e74b1!8m2!3d18.521528!4d73.864855!16s%2Fg%2F1tjv1z0h!19sChIJd52aTlzAwjsRsXQ-ebbnChg?authuser=0&hl=en&rclk=1,Jadhav Bakers,4.1,Bakery and Cake Shop,18.521528,73.864855
61,https://www.google.com/maps/place/Micail+Bakery+%26+Sweets/data=!4m7!3m6!1s0x3bc2c05c4e9a9d77:0xabd9d56a91ca16ae!8m2!3d18.5232055!4d73.868783!16s%2Fg%2F1tfj1mnk!19sChIJd52aTlzAwjsRrhbKkWrV2as?authuser=0&hl=en&rclk=1,Micail Bakery & Sweets,0,Bakery and Cake Shop,18.5232055,73.868783
62,https://www.google.com/maps/place/DSK+baker%27s/data=!4m7!3m6!1s0x3bc2c19109549a11:0x8353d9bfd762c87!8m2!3d18.5228929!4d73.8682656!16s%2Fg%2F11thjz2pnm!19sChIJEZpUCZHBwjsRhyx2_Zs9NQg?authuser=0&hl=en&rclk=1,DSK baker's,4.8,Bakery and Cake Shop,18.5228929,73.8682656
63,https://www.google.com/maps/place/Cake+And+Cream/data=!4m7!3m6!1s0x3bc2c05cf153eecf:0xb0eb4bb6e8ffe4d4!8m2!3d18.5218893!4d73.8694385!16s%2Fg%2F11tf41fw4t!19sChIJz-5T8VzAwjsR1OT_6LZL67A?authuser=0&hl=en&rclk=1,Cake And Cream,0,Bakery and Cake Shop,18.5218893,73.8694385
64,https://www.google.com/maps/place/Cosmos+Shreeji+Bakery/data=!4m7!3m6!1s0x3bc2c19cd99a55e3:0x7f1d83be73e1c4b!8m2!3d18.5218053!4d73.8621247!16s%2Fg%2F11sz2lbb30!19sChIJ41Wa2ZzBwjsRSxw-5zvY8Qc?authuser=0&hl=en&rclk=1,Cosmos Shreeji Bakery,0,Bakery and Cake Shop,18.5218053,73.8621247
65,https://www.google.com/maps/place/HOME+SAI/data=!4m7!3m6!1s0x3bc2c1d1a10181bd:0xd7ddec2ea62b647c!8m2!3d18.5202949!4d73.8645115!16s%2Fg%2F11sd736zxw!19sChIJvYEBodHBwjsRfGQrpi7s3dc?authuser=0&hl=en&rclk=1,HOME SAI,0,Bakery and Cake Shop,18.5202949,73.8645115
66,https://www.google.com/maps/place/U+P+Yaadgar+Bakery/data=!4m7!3m6!1s0x3bc2c015024c0873:0xf5c2f0760d638617!8m2!3d18.5049209!4d73.8627451!16s%2Fg%2F1pxq897zj!19sChIJcwhMAhXAwjsRF4ZjDXbwwvU?authuser=0&hl=en&rclk=1,U P Yaadgar Bakery,4.5,Bakery and Cake Shop,18.5049209,73.8627451
67,https://www.google.com/maps/place/Akshy+bhau/data=!4m7!3m6!1s0x3bc2c1816e59942d:0xe83f91b945550308!8m2!3d18.5018322!4d73.8635912!16s%2Fg%2F11l5nsrsp5!19sChIJLZRZboHBwjsRCANVRbmRP-g?authuser=0&hl=en&rclk=1,Akshy bhau,0,Bakery and Cake Shop,18.5018322,73.8635912
68,https://www.google.com/maps/place/Dhaneshwarpatidar/data=!4m7!3m6!1s0x3bc2c15e9ece9d37:0x857ce57688859edf!8m2!3d18.5077722!4d73.861837!16s%2Fg%2F11tjxm70md!19sChIJN53Onl7BwjsR356FiHblfIU?authuser=0&hl=en&rclk=1,Dhaneshwarpatidar,0,Bakery and Cake Shop,18.5077722,73.861837
69,https://www.google.com/maps/place/candy+and+sugar+bakery/data=!4m7!3m6!1s0x3bc2c1bf2a6b3193:0x825023cb6d48869b!8m2!3d18.5030706!4d73.86606!16s%2Fg%2F11v4rgtl92!19sChIJkzFrKr_BwjsRm4ZIbcsjUII?authuser=0&hl=en&rclk=1,candy and sugar bakery,0,Bakery and Cake Shop,18.5030706,73.86606
70,https://www.google.com/maps/place/Baker%27s+point/data=!4m7!3m6!1s0x3bc2c1dd1ce281f9:0xbfae6f0f3e8a31ef!8m2!3d18.5053294!4d73.8634928!16s%2Fg%2F11stst_vv1!19sChIJ-YHiHN3BwjsR7zGKPg9vrr8?authuser=0&hl=en&rclk=1,Baker's point,0,Bakery and Cake Shop,18.5053294,73.8634928
