UID,URL,NAME,Latitude,Longitude
a12,https://www.google.com/maps/place/Byramjee+Jeejeebhoy+Government+Medical+College/data=!4m7!3m6!1s0x3bc2c05bed859c0b:0xb342b5f0d17dfa27!8m2!3d18.5257527!4d73.8704003!16zL20vMDR0YzNo!19sChIJC5yF7VvAwjsRJ_p90fC1QrM?authuser=0&hl=en&rclk=1,Byramjee Jeejeebhoy Government Medical College,18.5257527,73.8704003
a13,https://www.google.com/maps/place/Chhatrapati+Sambhaji+Maharaj+garden/data=!4m7!3m6!1s0x3bc2c1226f5ab457:0x87386eebb15efaaa!8m2!3d18.5204246!4d73.8464502!16s%2Fg%2F11j2xt00l6!19sChIJV7RabyLBwjsRqvpesetuOIc?authuser=0&hl=en&rclk=1,Chhatrapati Sambhaji Maharaj garden,18.5204246,73.8464502
a14,https://www.google.com/maps/place/Chhatrapati+Shivaji+Maharaj+Udhyan/data=!4m7!3m6!1s0x3bc2c00d64e84579:0x65ce227a023b117a!8m2!3d18.504429!4d73.8531714!16s%2Fg%2F1yfdpbpf5!19sChIJeUXoZA3AwjsRehE7AnoizmU?authuser=0&hl=en&rclk=1,Chhatrapati Shivaji Maharaj Udhyan,18.504429,73.8531714
a15,https://www.google.com/maps/place/Chittaranjan+Vatika/data=!4m7!3m6!1s0x3bc2bf7ef488c5eb:0x6bf52663120eaab4!8m2!3d18.5322985!4d73.8378708!16s%2Fg%2F1tj8__7x!19sChIJ68WI9H6_wjsRtKoOEmMm9Ws?authuser=0&hl=en&rclk=1,Chittaranjan Vatika,18.5322985,73.8378708
a16,https://www.google.com/maps/place/COEP+Technological+University/data=!4m7!3m6!1s0x3bc2c0883858b873:0x1d68fbf2cac75519!8m2!3d18.5293825!4d73.856541!16zL20vMDZkZnRr!19sChIJc7hYOIjAwjsRGVXHyvL7aB0?authuser=0&hl=en&rclk=1,COEP Technological University,18.5293825,73.856541
a17,https://www.google.com/maps/place/Collector+Office+Pune/data=!4m7!3m6!1s0x3bc2c188e4a021bb:0x28e04e5e794ac203!8m2!3d18.5234206!4d73.8710544!16s%2Fg%2F1vfp224g!19sChIJuyGg5IjBwjsRA8JKeV5O4Cg?authuser=0&hl=en&rclk=1,Collector Office Pune,18.5234206,73.8710544
a18,"https://www.google.com/maps/place/College+of+Agriculture,+Pune/data=!4m7!3m6!1s0x3bc2c081855692b3:0xb468438664cba14!8m2!3d18.5365646!4d73.8441307!16s%2Fg%2F1tc_zyhm!19sChIJs5JWhYHAwjsRFLpMZjiERgs?authuser=0&hl=en&rclk=1","College of Agriculture, Pune",18.5365646,73.8441307
a19,https://www.google.com/maps/place/Darshan+Museum/data=!4m7!3m6!1s0x3bc2c05a6c7a9121:0x402d0c33068f922a!8m2!3d18.5240953!4d73.8764697!16s%2Fm%2F0h7pm2v!19sChIJIZF6bFrAwjsRKpKPBjMMLUA?authuser=0&hl=en&rclk=1,Darshan Museum,18.5240953,73.8764697
a20,https://www.google.com/maps/place/Dr.+Shyamaprasad+Mukherjee+Garden/data=!4m7!3m6!1s0x3bc2bfedf3c3fec7:0xf73319dffcc3746!8m2!3d18.4998703!4d73.8297543!16s%2Fg%2F1tdnvbj_!19sChIJx_7D8-2_wjsRRjfM_50xcw8?authuser=0&hl=en&rclk=1,Dr. Shyamaprasad Mukherjee Garden,18.4998703,73.8297543
a21,https://www.google.com/maps/place/Empress+Botanical+Garden/data=!4m7!3m6!1s0x3bc2c1b595555555:0x20f6ac6285bc37fe!8m2!3d18.5123005!4d73.8979112!16s%2Fg%2F11j4bms0g3!19sChIJVVVVlbXBwjsR_je8hWKs9iA?authuser=0&hl=en&rclk=1,Empress Botanical Garden,18.5123005,73.8979112
a22,https://www.google.com/maps/place/Fergusson+College/data=!4m7!3m6!1s0x3bc2bf80982203c7:0xba2ba195e24b828a!8m2!3d18.5226858!4d73.8408175!16zL20vMDR5Nnhr!19sChIJxwMimIC_wjsRioJL4pWhK7o?authuser=0&hl=en&rclk=1,Fergusson College,18.5226858,73.8408175
a23,https://www.google.com/maps/place/Gool+Poonawalla+Garden/data=!4m7!3m6!1s0x3bc2c025564647bd:0x99e567a0e823fbe!8m2!3d18.496533!4d73.8770438!16s%2Fg%2F1tdpdn2q!19sChIJvUdGViXAwjsRvj-CDnpWngk?authuser=0&hl=en&rclk=1,Gool Poonawalla Garden,18.496533,73.8770438
a24,"https://www.google.com/maps/place/Government+Polytechnic,+Pune/data=!4m7!3m6!1s0x3bc2bf7ac9514abb:0x11d0cebbb7eb6392!8m2!3d18.5388179!4d73.8319532!16s%2Fm%2F0h3vr36!19sChIJu0pRyXq_wjsRkmPrt7vO0BE?authuser=0&hl=en&rclk=1","Government Polytechnic, Pune",18.5388179,73.8319532
a25,https://www.google.com/maps/place/Graamdevta+Shree+Tambdi+Jogeshwari+Mandir/data=!4m7!3m6!1s0x3bc2c06fc1853741:0x7a768c0b088d83be!8m2!3d18.5165556!4d73.8547939!16s%2Fg%2F1vppqzw3!19sChIJQTeFwW_AwjsRvoONCAuMdno?authuser=0&hl=en&rclk=1,Graamdevta Shree Tambdi Jogeshwari Mandir,18.5165556,73.8547939
a26,https://www.google.com/maps/place/Hutatma+Garden/data=!4m7!3m6!1s0x3bc2c0c2b135892d:0x33fbd731df1e3eb8!8m2!3d18.5556583!4d73.8765664!16s%2Fg%2F1vnngvxb!19sChIJLYk1scLAwjsRuD4e3zHX-zM?authuser=0&hl=en&rclk=1,Hutatma Garden,18.5556583,73.8765664
a27,https://www.google.com/maps/place/ILS+Law+College/data=!4m7!3m6!1s0x3bc2bf9ac57f49eb:0xc6624739e732732!8m2!3d18.5171271!4d73.8280512!16s%2Fm%2F026jtd3!19sChIJ60l_xZq_wjsRMidznnMkZgw?authuser=0&hl=en&rclk=1,ILS Law College,18.5171271,73.8280512
a28,https://www.google.com/maps/place/ISKCON+NVCC+Pune/data=!4m7!3m6!1s0x3bc2eafba92dd749:0x5eba1b5bbe09d7ee!8m2!3d18.4479075!4d73.8806802!16s%2Fm%2F0v3g7rc!19sChIJSdctqfvqwjsR7tcJvlsbul4?authuser=0&hl=en&rclk=1,ISKCON NVCC Pune,18.4479075,73.8806802
a29,https://www.google.com/maps/place/ISKCON+Pune+Camp/data=!4m7!3m6!1s0x3bc2c04fd9d3ddb9:0xe985e097c2bd1700!8m2!3d18.520418!4d73.8792549!16s%2Fg%2F1tgz3y63!19sChIJud3T2U_AwjsRABe9wpfghek?authuser=0&hl=en&rclk=1,ISKCON Pune Camp,18.520418,73.8792549
a30,https://www.google.com/maps/place/Jaisinghrao+Sasane+Garden+Wanawadi+Pune+Corporation+Garden/data=!4m7!3m6!1s0x3bc2c1c0b5797017:0xf13208b7b669cde2!8m2!3d18.5097437!4d73.9067523!16s%2Fg%2F11cmtzch9b!19sChIJF3B5tcDBwjsR4s1ptrcIMvE?authuser=0&hl=en&rclk=1,Jaisinghrao Sasane Garden Wanawadi Pune Corporation Garden,18.5097437,73.9067523
a31,https://www.google.com/maps/place/Jogger%27s+Park/data=!4m7!3m6!1s0x3bc2c110db1ce3d9:0xcec232b4e1ec9900!8m2!3d18.5496917!4d73.9024604!16s%2Fg%2F1tdckdxv!19sChIJ2eMc2xDBwjsRAJns4bQyws4?authuser=0&hl=en&rclk=1,Jogger's Park,18.5496917,73.9024604
a32,https://www.google.com/maps/place/Joshi%27s+Museum+Of+Miniature+Railways/data=!4m7!3m6!1s0x3bc2bfb1b40a7fad:0x9bc29a08fe558ee5!8m2!3d18.5015865!4d73.822345!16s%2Fm%2F0jwzhzj!19sChIJrX8KtLG_wjsR5Y5V_giawps?authuser=0&hl=en&rclk=1,Joshi's Museum Of Miniature Railways,18.5015865,73.822345
a33,https://www.google.com/maps/place/Kamala+Nehru+Park/data=!4m7!3m6!1s0x3bc2bf85f3df48f7:0xd28ad287ede973d5!8m2!3d18.5170408!4d73.8344134!16s%2Fm%2F0h662s_!19sChIJ90jf84W_wjsR1XPp7YfSitI?authuser=0&hl=en&rclk=1,Kamala Nehru Park,18.5170408,73.8344134
a34,https://www.google.com/maps/place/Kasba+Peth+Kshetriya+Karyalay+%26+Birth+and+Death+Certificate+Registrar+Office/data=!4m7!3m6!1s0x3bc2c0615a998a97:0xbee006a449f3064c!8m2!3d18.5251175!4d73.860166!16s%2Fg%2F1yfjv3llx!19sChIJl4qZWmHAwjsRTAbzSaQG4L4?authuser=0&hl=en&rclk=1,Kasba Peth Kshetriya Karyalay & Birth and Death Certificate Registrar Office,18.5251175,73.860166
